Date,Time,Post,Lane,Type,Views,Likes,Replies,Reposts,Quotes,Total Engagement,Eng Rate %,Permalink,Post ID
2026-08-14,20:15,“Maturity in the kingdom is measured by how quickly you can command your own emotions” - Apostle Tobi Arayomi,,TEXT_POST,255,8,4,1,0,13,5.1,https://www.threads.com/@joeyhung_/post/DcCJjdciWpU,18090759611345904
2026-08-14,19:36,"Recently the Lord’s been showing me I’m playing too small, dreaming too small, making moves that are too safe and realistic. If I truly believe we serve a God who can do the impossible, then the way I dream, plan and execute should reflect that. I heard someone say once “we glorify God by the magnitude of our prayers”. Super scary but today is a good day to start working on that",,TEXT_POST,235,14,4,0,1,19,8.09,https://www.threads.com/@joeyhung_/post/DcCFEUUCBvo,17943106986289904
2026-08-13,20:18,"Psalm 119 is the longest psalm. It’s soo good. Full of gems

“How can a young man keep his way pure? By living according to your word”
“I have hidden your word in my heart that I might not sin against you”
“I will walk about in freedom for I have sought out your precepts”
“It was good for me to be afflicted so I might learn your decrees”
“The unfolding of your words gives light; it gives understanding to the simple”
“Great peace have they who love your law and nothing can make them stumble”",,TEXT_POST,95,9,3,2,0,14,14.74,https://www.threads.com/@joeyhung_/post/Db_lEVeCJ1g,18152310889508367
2026-08-13,19:00,Every time I truly repented it brought me into a higher level of intimacy with God. Few things have accelerated my spiritual growth more than this,,TEXT_POST,331,17,4,1,0,22,6.65,https://www.threads.com/@joeyhung_/post/Db_cLtdkUsQ,18013291775927356
2026-08-12,19:00,"If God is your only option left, you are about to see your greatest testimony manifest.",,TEXT_POST,246,25,10,1,1,37,15.04,https://www.threads.com/@joeyhung_/post/Db83WGQjqAD,18065291756738501
2026-08-11,20:19,"God saved my life in this hospital room. I’d been admitted for a horrendous drug overdose. Required a liver transplant, one of the sickest patients in the UK, spent 1 month in ICU and then 2 months recovering in this ward. My body was so broken I couldn’t even lift my head off the pillow. It was here I first called to God and he answered. I experienced his grace, his mercy, his love, his forgiveness - all things I didn’t deserve - and what we built here in intimacy away from the world became",,IMAGE,310,26,23,1,0,50,16.13,https://www.threads.com/@joeyhung_/post/Db6bkbCiCau,18053433869795396
2026-07-27,19:00,"Your testing will bring you into your abundance:

For you, O God, tested us;
You refined us like silver. 
You brought us into prison 
And laid burdens on our backs. 
You let men ride over our heads;
We went through the fire and water,
But you brought us into a place of ABUNDANCE.
Ps 66:10-12",,TEXT_POST,256,22,3,3,1,29,11.33,https://www.threads.com/@joeyhung_/post/DbTqnDfE2ZX,18119785996881964
2026-07-24,19:00,"Ohh this is so cool - popped in and everyone seems to be talking about the SUDDENLY of God 

It’s coming 😍",,IMAGE,152,7,5,0,0,12,7.89,https://www.threads.com/@joeyhung_/post/DbL8M7LAnrS,18073309214383766
2026-07-18,19:00,"The church has crippling problems we can all see and many have pointed out, but at the same time I love it and am incredibly optimistic. God has everything in control. It will work out. The best is yet to come.",,TEXT_POST,259,12,1,1,0,14,5.41,https://www.threads.com/@joeyhung_/post/Da8ffDBAB7D,18082265465228541
2026-07-17,20:00,"We don’t serve a God who just delegates stuff for us to do. 

He desires to know us - and that we would know him. 

It’s out of this intimate relationship does he then share your assignment, not before.",,TEXT_POST,200,11,1,1,0,13,6.5,https://www.threads.com/@joeyhung_/post/Da6Bmrbgu-A,17948703774249212
