Author,Followers,Likes,Post,Permalink
adamgrant,2803684,12180,"Being an introvert is not about where you get your energy. It's how you handle stimulation.

Introverts are energized by people too. We’re just easily exhausted by loud parties, close talkers, and endless houseguests.

I'm not antisocial. I'm pro-quiet.",https://www.threads.com/t/CvKfn-TuhVL
adamgrant,2803684,5260,A mark of intelligence is the ability to disagree with yourself.,https://www.threads.com/t/Dbii8Q1lReK
jeffnippard,4071865,4225,"Leaning out and stuff, shoutout MacroFactor",https://www.threads.com/t/DLxwxEpRVbP
markmanson,2196991,2549,Intimacy is directly proportional to the willingness of two people to be hurt by one another.,https://www.threads.com/t/DWy9EzgFhs9
adamgrant,2803684,1901,People who are unclear about their values become victims of their emotions.,https://www.threads.com/t/Db3KAVxlaeS
jeffnippard,4071865,1820,"The only two triceps exercises you really need:

A close-grip dip (machine or free weight) and an overhead extension (cable or free weight).

The dip will hit the long head in a shortened position. The overhead extension will hit the long head in a lengthened position.

The other heads get smashed regardless of shoulder position.

Have fun!",https://www.threads.com/t/DUbp0CmEfQ2
adamgrant,2803684,1381,I disagree. It’s more a sign of intellectual humility.,https://www.threads.com/t/DbinkOtFZaS
nicolascole77,96922,1170,"I write 5,000 words every day.

How?

By treating my writing like a mental sport.

Here are 9 simple habits I use to stay mentally fit as a pro writer:",https://www.threads.com/t/C_dITN_AzsM
drkojosarfo,,48093,"Neurodivergent people will say, ""I'm exhausted,"" then stay awake because they haven't had enough time to themselves yet.",https://www.threads.com/t/DZB-ACJjgDi
thrivewomendaily,,48092,"UNPOPULAR OPINION:
A lot of “mental health issues” disappear when bills are paid, rent is secure, and the fridge is full.

Peace is expensive.
And pretending money doesn’t affect mental health is privilege.",https://www.threads.com/t/DSj0-G8kaj2
william.scipio,,41077,My journey. In 2022 I was 450 pounds and currently I'm 198 pounds. #weightloss,https://www.threads.com/t/DUo5WY7jEog
drkojosarfo,,39790,Neurodivergent people don’t recharge by sleeping. They recharge by being completely left alone long enough for their nervous system to reset,https://www.threads.com/t/DWKLv-9gfgE
sparkle_nam,,30391,Habits I stole from women with regulated nervous systems,https://www.threads.com/t/DXWx542j1ng
garybwell,,29700,Yesterday I celebrated 4 years of #sobriety. First pic was me in rehab.,https://www.threads.com/t/DQYNTdpEQkG
_bnennw_,,28986,"Mindset siêu peak:
""Nếu bạn mất đi toàn bộ sự dựa dẫm, thì tự nhiên bạn sẽ làm được tất cả!""",https://www.threads.com/t/DbTYAV7j6zi
andrew8673,,21449,In one hour I will have 20 years of sobriety.,https://www.threads.com/t/DVU99eCEkmZ
joncrfd,,17980,"The older I get, I understand why Jesus 
often withdrew to quiet places.",https://www.threads.com/t/DbLqvSelkOy
jugglingthejenkins,,16564,"Breaking news: local homebody with raging agoraphobia has successfully left the house for 34 consecutive days. ❤️ 

#agoraphobia #facingmyfears #anxiety #mentalhealth.",https://www.threads.com/t/DR9xbhqjp6w
sixfiguretechie,,15459,Y'all think this ADHD shit is fun cause y'all don't actually have it,https://www.threads.com/t/DXsq3LmAECU
itslove.eb,,15001,"YALL!!! I started my weight loss journey at 350lbs and today I weighed in at 248lbs!! 

I knowww it won’t mean a lot to some but I’m sooo so proud of me. 🥹",https://www.threads.com/t/DZ-CJSOjk8A
mine_nguynne,,14946,Mindset nào khiến bạn cảm thấy dễ thở hơn dù cả đống áp lực trên đầu,https://www.threads.com/t/DaKaJH9Erch
graymon_vo,,14733,"MÌNH ĐÃ XEM HẾT KÊNH CHỊ NÀY TRONG VÒNG 1 ĐÊM 
Chị này từng làm Product Manager (quản lý sản phẩm) nhiều năm trong ngành công nghệ tại các công ty như Google, Amazon, và Adobe nên có mindset rất hay về mảng khởi nghiệp. 

Video của chị này chủ yếu về liệt kê, phân tích các case study về khởi nghiệp và các dự án khởi nghiệp nhỏ. 

Ai đang theo đuổi các dự án kinh doanh ngoài giờ làm việc xem kênh này hợp lí luôn",https://www.threads.com/t/DBjFAUqvop4
icejjfish,,14010,Surrender your life's to God please.,https://www.threads.com/t/DXnS90wkkJe
mindfulwomenworld,,12358,"GUYS I'M FAMOUS! HAHAHA a girl at the gym said: ""wait, you're the manifestation girl from threads who mixes neuroscience and energy healing? I LOVE your posts. they always lift me up.""aaaaa 🥹🫶🏻",https://www.threads.com/t/DS1CVzpDIqI
cuixuongnhatlaichinhminh,,12020,"Nói thật nhé.

Burnout không đến
vào ngày deadline.

Nó đến
vào một buổi sáng bình thường,
khi bạn mở laptop
và không còn cảm thấy gì.",https://www.threads.com/t/DUZNWkIggne
thetimecianeshae,,11759,"YALL!!! I started my weight loss journey at 360lbs and today I weighed in at 231lbs!! 

I knowww it won’t mean a lot to some but I’m sooo so proud of me. 🥹",https://www.threads.com/t/DZ_Ssq9FFS9
chriscranford_,,10118,"the dude she dated 
vs. 
The Man she lost",https://www.threads.com/t/Db8rcl2lo9Q
nep_caesar,,9597,Why nobody told me that growing a closer relationship with God will have you sitting quiet all day not talking to nobody else but Him😭😭😭,https://www.threads.com/t/DSYqng2Ce-6
iambella_vee,,9170,"A “for better or for worse” moment.

A traumatic brain injury caused the right side of her body to be much weaker than the left. 
Her husband is her perfect therapist. God is her best Healer.",https://www.threads.com/t/DcDO9xMCVxW
tin_cayabs,,8833,"sana maging DEBT-FREE na tayo lahat, in jesus name!!! ✨✨",https://www.threads.com/t/DbAaySRDx10
philosophors,,7938,"“I'm not upset that you lied to me, I'm upset that from now on I can't believe you.”

— Friedrich Nietzsche",https://www.threads.com/t/C1uPgvPCyQr
iamsamanthajwest,,7663,Nobody talks about the spiritual attacks that come after you say yes to God.,https://www.threads.com/t/DItafPLsfwW
